DlangUI log file
2026-03-05 11:51:45.345 D  registerFont(SansSerif,Bahnschrift SemiBold SemiConden)
2026-03-05 11:51:45.345 D  registerFont(SansSerif,Bahnschrift SemiBold SemiConden)
2026-03-05 11:51:45.345 D  registerFont(SansSerif,Bahnschrift SemiBold SemiConden)
2026-03-05 11:51:45.345 D  registerFont(SansSerif,Bahnschrift SemiBold SemiConden)
2026-03-05 11:51:45.345 D  registerFont(SansSerif,Bahnschrift Light Condensed)
2026-03-05 11:51:45.345 D  registerFont(SansSerif,Bahnschrift Light Condensed)
2026-03-05 11:51:45.345 D  registerFont(SansSerif,Bahnschrift Light Condensed)
2026-03-05 11:51:45.345 D  registerFont(SansSerif,Bahnschrift Light Condensed)
2026-03-05 11:51:45.345 D  registerFont(SansSerif,Bahnschrift Light Condensed)
2026-03-05 11:51:45.345 D  registerFont(SansSerif,Bahnschrift Light Condensed)
2026-03-05 11:51:45.345 D  registerFont(SansSerif,Bahnschrift Light Condensed)
2026-03-05 11:51:45.346 D  registerFont(SansSerif,Bahnschrift SemiLight Condensed)
2026-03-05 11:51:45.346 D  registerFont(SansSerif,Bahnschrift SemiLight Condensed)
2026-03-05 11:51:45.347 D  registerFont(SansSerif,Bahnschrift SemiLight Condensed)
2026-03-05 11:51:45.347 D  registerFont(SansSerif,Bahnschrift SemiLight Condensed)
2026-03-05 11:51:45.347 D  registerFont(SansSerif,Bahnschrift SemiLight Condensed)
2026-03-05 11:51:45.347 D  registerFont(SansSerif,Bahnschrift SemiLight Condensed)
2026-03-05 11:51:45.349 D  registerFont(SansSerif,Bahnschrift SemiLight Condensed)
2026-03-05 11:51:45.349 D  registerFont(SansSerif,Bahnschrift Condensed)
2026-03-05 11:51:45.349 D  registerFont(SansSerif,Bahnschrift Condensed)
2026-03-05 11:51:45.349 D  registerFont(SansSerif,Bahnschrift Condensed)
2026-03-05 11:51:45.349 D  registerFont(SansSerif,Bahnschrift Condensed)
2026-03-05 11:51:45.349 D  registerFont(SansSerif,Bahnschrift Condensed)
2026-03-05 11:51:45.349 D  registerFont(SansSerif,Bahnschrift Condensed)
2026-03-05 11:51:45.349 D  registerFont(SansSerif,Bahnschrift Condensed)
2026-03-05 11:51:45.349 D  registerFont(SansSerif,Bahnschrift SemiBold Condensed)
2026-03-05 11:51:45.349 D  registerFont(SansSerif,Bahnschrift SemiBold Condensed)
2026-03-05 11:51:45.350 D  registerFont(SansSerif,Bahnschrift SemiBold Condensed)
2026-03-05 11:51:45.350 D  registerFont(SansSerif,Bahnschrift SemiBold Condensed)
2026-03-05 11:51:45.350 D  registerFont(SansSerif,Bahnschrift SemiBold Condensed)
2026-03-05 11:51:45.350 D  registerFont(SansSerif,Bahnschrift SemiBold Condensed)
2026-03-05 11:51:45.350 D  registerFont(SansSerif,Bahnschrift SemiBold Condensed)
2026-03-05 11:51:45.350 D  registerFont(SansSerif,Calibri)
2026-03-05 11:51:45.350 D  registerFont(SansSerif,Calibri)
2026-03-05 11:51:45.350 D  registerFont(SansSerif,Calibri)
2026-03-05 11:51:45.350 D  registerFont(SansSerif,Calibri)
2026-03-05 11:51:45.350 D  registerFont(SansSerif,Calibri)
2026-03-05 11:51:45.350 D  registerFont(SansSerif,Calibri)
2026-03-05 11:51:45.350 D  registerFont(SansSerif,Calibri)
2026-03-05 11:51:45.350 D  registerFont(SansSerif,Calibri)
2026-03-05 11:51:45.350 D  registerFont(SansSerif,Calibri)
2026-03-05 11:51:45.350 D  registerFont(SansSerif,Calibri Light)
2026-03-05 11:51:45.351 D  registerFont(SansSerif,Calibri Light)
2026-03-05 11:51:45.351 D  registerFont(SansSerif,Calibri Light)
2026-03-05 11:51:45.351 D  registerFont(SansSerif,Calibri Light)
2026-03-05 11:51:45.351 D  registerFont(SansSerif,Calibri Light)
2026-03-05 11:51:45.351 D  registerFont(SansSerif,Calibri Light)
2026-03-05 11:51:45.351 D  registerFont(SansSerif,Calibri Light)
2026-03-05 11:51:45.351 D  registerFont(SansSerif,Calibri Light)
2026-03-05 11:51:45.351 D  registerFont(SansSerif,Calibri Light)
2026-03-05 11:51:45.351 D  registerFont(Serif,Cambria)
2026-03-05 11:51:45.351 D  registerFont(Serif,Cambria)
2026-03-05 11:51:45.351 D  registerFont(Serif,Cambria)
2026-03-05 11:51:45.351 D  registerFont(Serif,Cambria)
2026-03-05 11:51:45.351 D  registerFont(Serif,Cambria)
2026-03-05 11:51:45.351 D  registerFont(Serif,Cambria)
2026-03-05 11:51:45.351 D  registerFont(Serif,Cambria)
2026-03-05 11:51:45.352 D  registerFont(Serif,Cambria Math)
2026-03-05 11:51:45.352 D  registerFont(Serif,Cambria Math)
2026-03-05 11:51:45.352 D  registerFont(Serif,Cambria Math)
2026-03-05 11:51:45.352 D  registerFont(Serif,Cambria Math)
2026-03-05 11:51:45.352 D  registerFont(Serif,Cambria Math)
2026-03-05 11:51:45.352 D  registerFont(Serif,Cambria Math)
2026-03-05 11:51:45.352 D  registerFont(Serif,Cambria Math)
2026-03-05 11:51:45.352 D  registerFont(SansSerif,Candara)
2026-03-05 11:51:45.352 D  registerFont(SansSerif,Candara)
2026-03-05 11:51:45.352 D  registerFont(SansSerif,Candara)
2026-03-05 11:51:45.352 D  registerFont(SansSerif,Candara)
2026-03-05 11:51:45.352 D  registerFont(SansSerif,Candara)
2026-03-05 11:51:45.352 D  registerFont(SansSerif,Candara)
2026-03-05 11:51:45.352 D  registerFont(SansSerif,Candara)
2026-03-05 11:51:45.352 D  registerFont(SansSerif,Candara Light)
2026-03-05 11:51:45.353 D  registerFont(SansSerif,Candara Light)
2026-03-05 11:51:45.353 D  registerFont(SansSerif,Candara Light)
2026-03-05 11:51:45.353 D  registerFont(SansSerif,Candara Light)
2026-03-05 11:51:45.353 D  registerFont(SansSerif,Candara Light)
2026-03-05 11:51:45.353 D  registerFont(SansSerif,Candara Light)
2026-03-05 11:51:45.353 D  registerFont(SansSerif,Candara Light)
2026-03-05 11:51:45.353 D  registerFont(Cursive,Comic Sans MS)
2026-03-05 11:51:45.353 D  registerFont(Cursive,Comic Sans MS)
2026-03-05 11:51:45.353 D  registerFont(Cursive,Comic Sans MS)
2026-03-05 11:51:45.353 D  registerFont(Cursive,Comic Sans MS)
2026-03-05 11:51:45.353 D  registerFont(Cursive,Comic Sans MS)
2026-03-05 11:51:45.353 D  registerFont(Cursive,Comic Sans MS)
2026-03-05 11:51:45.353 D  registerFont(MonoSpace,Consolas)
2026-03-05 11:51:45.353 D  registerFont(MonoSpace,Consolas)
2026-03-05 11:51:45.353 D  registerFont(MonoSpace,Consolas)
2026-03-05 11:51:45.353 D  registerFont(MonoSpace,Consolas)
2026-03-05 11:51:45.354 D  registerFont(MonoSpace,Consolas)
2026-03-05 11:51:45.354 D  registerFont(MonoSpace,Consolas)
2026-03-05 11:51:45.354 D  registerFont(MonoSpace,Consolas)
2026-03-05 11:51:45.354 D  registerFont(Serif,Constantia)
2026-03-05 11:51:45.354 D  registerFont(Serif,Constantia)
2026-03-05 11:51:45.354 D  registerFont(Serif,Constantia)
2026-03-05 11:51:45.354 D  registerFont(Serif,Constantia)
2026-03-05 11:51:45.354 D  registerFont(Serif,Constantia)
2026-03-05 11:51:45.354 D  registerFont(Serif,Constantia)
2026-03-05 11:51:45.354 D  registerFont(Serif,Constantia)
2026-03-05 11:51:45.354 D  registerFont(SansSerif,Corbel)
2026-03-05 11:51:45.354 D  registerFont(SansSerif,Corbel)
2026-03-05 11:51:45.354 D  registerFont(SansSerif,Corbel)
2026-03-05 11:51:45.354 D  registerFont(SansSerif,Corbel)
2026-03-05 11:51:45.355 D  registerFont(SansSerif,Corbel)
2026-03-05 11:51:45.355 D  registerFont(SansSerif,Corbel)
2026-03-05 11:51:45.355 D  registerFont(SansSerif,Corbel)
2026-03-05 11:51:45.355 D  registerFont(SansSerif,Corbel Light)
2026-03-05 11:51:45.361 D  registerFont(SansSerif,Corbel Light)
2026-03-05 11:51:45.361 D  registerFont(SansSerif,Corbel Light)
2026-03-05 11:51:45.361 D  registerFont(SansSerif,Corbel Light)
2026-03-05 11:51:45.361 D  registerFont(SansSerif,Corbel Light)
2026-03-05 11:51:45.361 D  registerFont(SansSerif,Corbel Light)
2026-03-05 11:51:45.361 D  registerFont(SansSerif,Corbel Light)
2026-03-05 11:51:45.361 D  registerFont(MonoSpace,Courier New)
2026-03-05 11:51:45.361 D  registerFont(MonoSpace,Courier New)
2026-03-05 11:51:45.361 D  registerFont(MonoSpace,Courier New)
2026-03-05 11:51:45.361 D  registerFont(MonoSpace,Courier New)
2026-03-05 11:51:45.361 D  registerFont(MonoSpace,Courier New)
2026-03-05 11:51:45.361 D  registerFont(MonoSpace,Courier New)
2026-03-05 11:51:45.361 D  registerFont(MonoSpace,Courier New)
2026-03-05 11:51:45.361 D  registerFont(MonoSpace,Courier New)
2026-03-05 11:51:45.361 D  registerFont(MonoSpace,Courier New)
2026-03-05 11:51:45.362 D  registerFont(SansSerif,Ebrima)
2026-03-05 11:51:45.362 D  registerFont(SansSerif,Ebrima)
2026-03-05 11:51:45.362 D  registerFont(SansSerif,Ebrima)
2026-03-05 11:51:45.362 D  registerFont(SansSerif,Ebrima)
2026-03-05 11:51:45.362 D  registerFont(SansSerif,Franklin Gothic Medium)
2026-03-05 11:51:45.362 D  registerFont(SansSerif,Franklin Gothic Medium)
2026-03-05 11:51:45.362 D  registerFont(SansSerif,Franklin Gothic Medium)
2026-03-05 11:51:45.362 D  registerFont(SansSerif,Franklin Gothic Medium)
2026-03-05 11:51:45.362 D  registerFont(SansSerif,Franklin Gothic Medium)
2026-03-05 11:51:45.362 D  registerFont(SansSerif,Franklin Gothic Medium)
2026-03-05 11:51:45.362 D  registerFont(Fantasy,Gabriola)
2026-03-05 11:51:45.362 D  registerFont(Fantasy,Gabriola)
2026-03-05 11:51:45.362 D  registerFont(Fantasy,Gabriola)
2026-03-05 11:51:45.362 D  registerFont(Fantasy,Gabriola)
2026-03-05 11:51:45.362 D  registerFont(Fantasy,Gabriola)
2026-03-05 11:51:45.362 D  registerFont(Fantasy,Gabriola)
2026-03-05 11:51:45.362 D  registerFont(SansSerif,Gadugi)
2026-03-05 11:51:45.363 D  registerFont(Serif,Georgia)
2026-03-05 11:51:45.363 D  registerFont(Serif,Georgia)
2026-03-05 11:51:45.363 D  registerFont(Serif,Georgia)
2026-03-05 11:51:45.363 D  registerFont(Serif,Georgia)
2026-03-05 11:51:45.363 D  registerFont(Serif,Georgia)
2026-03-05 11:51:45.363 D  registerFont(Serif,Georgia)
2026-03-05 11:51:45.364 D  registerFont(SansSerif,Impact)
2026-03-05 11:51:45.364 D  registerFont(SansSerif,Impact)
2026-03-05 11:51:45.364 D  registerFont(SansSerif,Impact)
2026-03-05 11:51:45.364 D  registerFont(SansSerif,Impact)
2026-03-05 11:51:45.364 D  registerFont(SansSerif,Impact)
2026-03-05 11:51:45.364 D  registerFont(SansSerif,Impact)
2026-03-05 11:51:45.364 D  registerFont(Cursive,Ink Free)
2026-03-05 11:51:45.364 D  registerFont(SansSerif,Javanese Text)
2026-03-05 11:51:45.364 D  registerFont(SansSerif,Leelawadee UI)
2026-03-05 11:51:45.364 D  registerFont(SansSerif,Leelawadee UI)
2026-03-05 11:51:45.365 D  registerFont(SansSerif,Leelawadee UI)
2026-03-05 11:51:45.365 D  registerFont(SansSerif,Leelawadee UI Semilight)
2026-03-05 11:51:45.365 D  registerFont(SansSerif,Leelawadee UI Semilight)
2026-03-05 11:51:45.365 D  registerFont(SansSerif,Leelawadee UI Semilight)
2026-03-05 11:51:45.365 D  registerFont(MonoSpace,Lucida Console)
2026-03-05 11:51:45.365 D  registerFont(MonoSpace,Lucida Console)
2026-03-05 11:51:45.365 D  registerFont(MonoSpace,Lucida Console)
2026-03-05 11:51:45.365 D  registerFont(MonoSpace,Lucida Console)
2026-03-05 11:51:45.365 D  registerFont(MonoSpace,Lucida Console)
2026-03-05 11:51:45.365 D  registerFont(SansSerif,Lucida Sans Unicode)
2026-03-05 11:51:45.365 D  registerFont(SansSerif,Lucida Sans Unicode)
2026-03-05 11:51:45.365 D  registerFont(SansSerif,Lucida Sans Unicode)
